"Id";"CASnummer";"Codes";"Omschrijving";"Groep";"Begin geldigheid";"Eind geldigheid";"Status";"Gerelateerd"
488;"24934-91-6";"Clmfs";"chloormefos";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4880;"28249-77-6";"tobcb";"thiobencarb";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4881;"31895-21-3";"toccm";"thiocyclam";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4882;"23564-05-8";"tofnC1y";"thiofanaat-methyl";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4883;"23564-06-9";"tofnC2y";"thiofanaat-ethyl";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4884;"210631-68-8";"topmzn";"topramezon";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4885;"79-19-6";"tosmcbzde";"thiosemicarbazide";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4886;"62-56-6";"tourm";"thioureum";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4887;"110-88-3";"TOxC1ye";"trioxymethyleen";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4888;"61949-77-7";"tpermtn";"trans-permethrin";"ChemischeStof";"2025-02-27";"2100-01-01";"Geldig";"Id-99eac0eb-dc80-cede-e324-c722bb2ed9f3"
4889;"791-28-6";"TPPO";"trifenylfosfineoxide";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
489;"74-87-3";"ClC1a";"chloormethaan";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4890;"83227-22-9";"tpyrfnx";"trans-pyrifenox";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4891;"27203-92-5";"tramdl";"tramadol";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4892;"126-72-7";"tris23DBrC3y";"tris(2,3-dibroompropyl)fosfaat";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4893;"78-42-2";"tris2C2yC6yP";"tris(2-ethylhexyl)fosfaat";"ChemischeStof";"2012-11-17";"2100-01-01";"Geldig";""
4894;"78-51-3";"tris2C4oxC2y";"tris(2-butoxyethyl)fosfaat";"ChemischeStof";"2011-12-24";"2100-01-01";"Geldig";""
4895;"13674-87-8";"tris2Cl1ClC1";"tris(2-chloor-1-(chloormethyl)ethyl)fosfaat";"ChemischeStof";"2012-03-17";"2100-01-01";"Geldig";""
4896;"19186-97-1";"trisTBrnoC5y";"tris(tribroomneopentyl)fosfaat";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
